,Node,VLAN_ID,Interfaces,VXLAN_VNI
11,regiona-ce01,1,"[regiona-ce01[Ethernet3], regiona-ce01[Ethernet4], regiona-ce01[Ethernet9], regiona-ce01[Ethernet10], regiona-ce01[Ethernet11], regiona-ce01[Ethernet12], regiona-ce01[Ethernet13], regiona-ce01[Ethernet14], regiona-ce01[Ethernet15], regiona-ce01[Ethernet16], regiona-ce01[Ethernet17], regiona-ce01[Ethernet18], regiona-ce01[Ethernet19]]",
12,regionb-acc02,1120,"[regionb-acc02[Ethernet6], regionb-acc02[Port-Channel1], regionb-acc02[Port-Channel2]]",
13,regionb-acc02,1,"[regionb-acc02[Ethernet1], regionb-acc02[Ethernet2], regionb-acc02[Ethernet3], regionb-acc02[Ethernet4], regionb-acc02[Ethernet7], regionb-acc02[Ethernet8], regionb-acc02[Ethernet9], regionb-acc02[Ethernet10], regionb-acc02[Ethernet11], regionb-acc02[Ethernet12], regionb-acc02[Ethernet13], regionb-acc02[Ethernet14], regionb-acc02[Ethernet15], regionb-acc02[Ethernet16], regionb-acc02[Ethernet17], regionb-acc02[Ethernet18], regionb-acc02[Ethernet19]]",
14,regiona-ce02,20,"[regiona-ce02[Ethernet7], regiona-ce02[Ethernet8], regiona-ce02[Port-Channel3], regiona-ce02[Vlan20]]",
15,regionb-acc02,1020,"[regionb-acc02[Ethernet5], regionb-acc02[Port-Channel1], regionb-acc02[Port-Channel2]]",
16,regiona-acc01,20,"[regiona-acc01[Port-Channel3], regiona-acc01[Port-Channel4]]",
17,regiona-acc01,10,"[regiona-acc01[Ethernet9], regiona-acc01[Ethernet11], regiona-acc01[Port-Channel1], regiona-acc01[Port-Channel2]]",
18,regionb-svc02,1,"[regionb-svc02[Ethernet3], regionb-svc02[Ethernet4], regionb-svc02[Ethernet5], regionb-svc02[Ethernet6], regionb-svc02[Ethernet7], regionb-svc02[Ethernet8], regionb-svc02[Ethernet9], regionb-svc02[Ethernet10], regionb-svc02[Ethernet11], regionb-svc02[Ethernet12], regionb-svc02[Ethernet13], regionb-svc02[Ethernet14], regionb-svc02[Ethernet15], regionb-svc02[Ethernet16], regionb-svc02[Ethernet17], regionb-svc02[Ethernet18], regionb-svc02[Ethernet19]]",
19,regionb-acc01,1110,"[regionb-acc01[Ethernet6], regionb-acc01[Port-Channel1], regionb-acc01[Port-Channel2]]",
20,regiona-svr02,1,"[regiona-svr02[Ethernet3], regiona-svr02[Ethernet4], regiona-svr02[Ethernet5], regiona-svr02[Ethernet6], regiona-svr02[Ethernet7], regiona-svr02[Ethernet8], regiona-svr02[Ethernet9], regiona-svr02[Ethernet10], regiona-svr02[Ethernet11], regiona-svr02[Ethernet12], regiona-svr02[Ethernet13], regiona-svr02[Ethernet14], regiona-svr02[Ethernet15], regiona-svr02[Ethernet16], regiona-svr02[Ethernet17], regiona-svr02[Ethernet18], regiona-svr02[Ethernet19]]",
21,regiona-ce02,120,"[regiona-ce02[Ethernet7], regiona-ce02[Ethernet8], regiona-ce02[Port-Channel3], regiona-ce02[Vlan120]]",
22,regiona-svr01,1,"[regiona-svr01[Ethernet3], regiona-svr01[Ethernet4], regiona-svr01[Ethernet5], regiona-svr01[Ethernet6], regiona-svr01[Ethernet7], regiona-svr01[Ethernet8], regiona-svr01[Ethernet9], regiona-svr01[Ethernet10], regiona-svr01[Ethernet11], regiona-svr01[Ethernet12], regiona-svr01[Ethernet13], regiona-svr01[Ethernet14], regiona-svr01[Ethernet15], regiona-svr01[Ethernet16], regiona-svr01[Ethernet17], regiona-svr01[Ethernet18], regiona-svr01[Ethernet19]]",
23,regiona-ce01,120,"[regiona-ce01[Ethernet7], regiona-ce01[Ethernet8], regiona-ce01[Port-Channel3], regiona-ce01[Vlan120]]",
24,regiona-ce02,110,"[regiona-ce02[Ethernet5], regiona-ce02[Ethernet6], regiona-ce02[Port-Channel2], regiona-ce02[Vlan110]]",
